Rk,Winner,WinnerPoints,Loser,LoserPoints
1,(22) Arizona,42,Texas-San Antonio,32
2,Ball State,48,Virginia Military Institute,36
3,Connecticut,20,Villanova,15
4,Duke,37,Tulane,7
5,Florida International,15,Central Florida,14
6,Fresno State,34,Abilene Christian,13
7,(16) Georgia Tech,69,Alcorn State,6
8,Hawaii,28,Colorado,20
9,Nevada,31,California-Davis,17
10,Ohio,45,Idaho,28
11,Oklahoma State,24,Central Michigan,13
12,San Jose State,43,New Hampshire,13
13,South Carolina,17,North Carolina,13
14,(2) Texas Christian,23,Minnesota,17
15,Utah,24,Michigan,17
16,Utah State,12,Southern Utah,9
17,Wake Forest,41,Elon,3
18,Western Kentucky,14,Vanderbilt,12
19,(4) Baylor,56,Southern Methodist,21
20,(23) Boise State,16,Washington,13
21,Charlotte,23,Georgia State,20
22,Fordham,37,Army,35
23,(5) Michigan State,37,Western Michigan,24
24,Oregon State,26,Weber State,7
25,Syracuse,47,Rhode Island,0
26,Air Force,63,Morgan State,7
27,(3) Alabama,35,(20) Wisconsin,17
28,Appalachian State,49,Howard,0
29,(18) Arkansas,48,Texas-El Paso,13
30,(6) Auburn,31,Louisville,24
31,Boston College,24,Maine,3
32,Brigham Young,33,Nebraska,28
33,Buffalo,51,Albany,14
34,California,73,Grambling State,14
35,Cincinnati,52,Alabama A&M,10
36,(12) Clemson,49,Wofford,10
37,Colorado State,65,Savannah State,13
38,East Carolina,28,Towson,20
39,Florida,61,New Mexico State,13
40,(10) Florida State,59,Texas State,16
41,(9) Georgia,51,Louisiana-Monroe,14
42,Houston,52,Tennessee Tech,24
43,Illinois,52,Kent State,3
44,Indiana,48,Southern Illinois,47
45,Iowa,31,Illinois State,14
46,Iowa State,31,Northern Iowa,7
47,Kansas State,34,South Dakota,0
48,Kentucky,40,Louisiana-Lafayette,33
49,Louisiana Tech,62,Southern,15
50,Maryland,50,Richmond,21
52,Memphis,63,Missouri State,7
53,Miami (FL),45,Bethune-Cookman,0
54,Miami (OH),26,Presbyterian,7
55,Middle Tennessee State,70,Jackson State,14
56,(17) Mississippi,76,Tennessee-Martin,3
57,Mississippi State,34,Southern Mississippi,16
58,(24) Missouri,34,Southeast Missouri State,3
59,Navy,48,Colgate,10
60,New Mexico,66,Mississippi Valley State,0
61,North Carolina State,49,Troy,21
62,North Dakota,24,Wyoming,13
63,Northern Illinois,38,Nevada-Las Vegas,30
